gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1951966751	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083645	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aglais	Aglais io		SPECIES	Aglais io (Linnaeus, 1758)	Aglais io		NL	Veenendaal	Utrecht		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.0	5.55	5000.0						2014-10-10T00:00:00Z	10	10	2014	4535827	4535827	HUMAN_OBSERVATION		Observations	OBS.89083645				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T15:16:10.208Z		
1951966752	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083599	Animalia	Chordata	Aves	Passeriformes	Corvidae	Coloeus	Coloeus monedula		SPECIES	Coloeus monedula (Linnaeus, 1758)	Coloeus monedula		NL	Colijnsplaat - Haven	Zeeland		6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.6	3.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	6100954	6100954	HUMAN_OBSERVATION		Observations	OBS.89083599				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T18:27:13.067Z		
1951966753	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083416	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circus	Circus macrourus		SPECIES	Circus macrourus (S.G.Gmelin, 1770)	Circus macrourus		NL	Texel - Eierland - Oorsprongweg - west	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.1	4.8	5000.0						2014-10-10T00:00:00Z	10	10	2014	2480491	2480491	HUMAN_OBSERVATION		Observations	OBS.89083416				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T18:04:30.994Z		
1951966754	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083564	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula		SPECIES	Turdus merula Linnaeus, 1758	Turdus merula		NL	Koudekerke	Zeeland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.45	3.55	5000.0						2014-10-10T00:00:00Z	10	10	2014	2490719	2490719	HUMAN_OBSERVATION		Observations	OBS.89083564				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T02:02:55.492Z		
1951966755	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083635	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Chloris	Chloris chloris		SPECIES	Chloris chloris (Linnaeus, 1758)	Chloris chloris		NL	Vlieland - Waterzuivering	Friesland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.25	5.05	5000.0						2014-10-10T00:00:00Z	10	10	2014	5845582	5845582	HUMAN_OBSERVATION		Observations	OBS.89083635				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T18:08:17.611Z		
1951966756	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083429	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Uria	Uria aalge		SPECIES	Uria aalge (Pontoppidan, 1763)	Uria aalge		NL	IJmuiden - Zuidpier	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.45	4.5	5000.0						2014-10-10T00:00:00Z	10	10	2014	2481342	2481342	HUMAN_OBSERVATION		Observations	OBS.89083429				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T00:22:32.721Z		
1951966757	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083398	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	Sympetrum	Sympetrum sanguineum		SPECIES	Sympetrum sanguineum Müller, 1764	Sympetrum sanguineum		NL	Montfort - Reigersbroek	Limburg		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.1	5.9	5000.0						2014-10-10T00:00:00Z	10	10	2014	1428217	1428217	HUMAN_OBSERVATION		Observations	OBS.89083398				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T23:44:11.867Z		
1951966758	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083598	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa cardui		SPECIES	Vanessa cardui (Linnaeus, 1758)	Vanessa cardui		NL	Colijnsplaat - Haven	Zeeland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.6	3.8	5000.0						2014-10-10T00:00:00Z	10	10	2014	4299368	4299368	HUMAN_OBSERVATION		Observations	OBS.89083598				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T02:16:13.592Z		
1951966759	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083743	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Phoca	Phoca vitulina		SPECIES	Phoca vitulina Linnaeus, 1758	Phoca vitulina		NL	Hondsbossche Zeewering	Noord-Holland		29	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.7	4.6	5000.0						2014-10-10T00:00:00Z	10	10	2014	2434793	2434793	HUMAN_OBSERVATION		Observations	OBS.89083743				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T23:42:34.299Z		
1951966760	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083706	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Oenanthe	Oenanthe leucopyga		SPECIES	Oenanthe leucopyga (C.L.Brehm, 1855)	Oenanthe leucopyga		NL	Oegstgeest - Poelgeest (nieuwbouwwijk)	Zuid-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.15	4.45	5000.0						2014-10-10T00:00:00Z	10	10	2014	5231253	5231253	HUMAN_OBSERVATION		Observations	OBS.89083706				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T00:44:10.162Z		
